timestamp,open,high,low,close,volumeto,coin
2026-02-20,1948.29,1980.82,1922.61,1968.32,894425752.91,ETH
2026-02-21,1968.32,1995.12,1955.37,1973.16,289647023.39,ETH
2026-02-22,1973.16,1982.67,1934.5,1957.22,291581613.82,ETH
2026-02-23,1957.22,1957.66,1837.27,1855.64,975753590.09,ETH
2026-02-24,1855.64,1868.79,1803.75,1852.05,1017475372.47,ETH
2026-02-25,1852.05,2146.94,1846.76,2057.64,1598298434.4,ETH
2026-02-26,2057.64,2083.49,1975.58,2027.89,1215788591.17,ETH
2026-02-27,2027.89,2063.72,1887.73,1929.59,1194280659.37,ETH
2026-02-28,1929.59,1984.96,1835.72,1964.82,961460602.29,ETH
2026-03-01,1964.82,2054.59,1908.04,1939.67,911538100.93,ETH
2026-03-02,1939.67,2089.55,1920.48,2027.46,1399595238.06,ETH
2026-03-03,2027.46,2041.63,1928.55,1982.88,1304387377.14,ETH
2026-03-04,1982.88,2199.59,1944.91,2127.79,1593591288.73,ETH
2026-03-05,2127.79,2164.17,2054.85,2073.07,1172123372.91,ETH
2026-03-06,2073.07,2093.59,1955.69,1978.55,1115002579.19,ETH
2026-03-07,1978.55,1996.09,1948.52,1969.49,341452609.31,ETH
2026-03-08,1969.49,1984.89,1912.58,1936.97,698761724.64,ETH
2026-03-09,1936.97,2053.64,1929.69,1993.58,1239180208.26,ETH
2026-03-10,1993.58,2088.4,1991.24,2036.9,1081910673.68,ETH
2026-03-11,2036.9,2086.06,2007.41,2052.28,947229941.12,ETH
2026-03-12,2052.28,2094.84,2018.22,2073.57,881827733.77,ETH
2026-03-13,2073.57,2210.39,2070.27,2092.74,1335108758.65,ETH
2026-03-14,2092.74,2106.0,2062.13,2096.74,290174756.16,ETH
2026-03-15,2096.74,2203.02,2083.93,2178.65,556525758.96,ETH
2026-03-16,2178.65,2385.62,2165.55,2352.75,1524642028.55,ETH
2026-03-17,2352.75,2376.84,2296.66,2318.1,1219846336.42,ETH
2026-03-18,2318.1,2350.94,2153.29,2203.67,1173415102.81,ETH
2026-03-19,2203.67,2233.87,2099.17,2137.97,1112206174.82,ETH
2026-03-20,2137.97,2176.7,2116.6,2145.95,931455393.64,ETH
2026-03-21,2145.95,2167.69,2070.7,2084.73,250837630.73,ETH
2026-03-22,2084.73,2126.42,2050.75,2118.27,146128287.34,ETH
