timestamp,open,high,low,close,volumeto,coin
2026-02-20,66983.75,68297.95,66442.67,67997.02,2565992687.01,BTC
2026-02-21,67997.02,68686.92,67528.59,67965.05,796953223.51,BTC
2026-02-22,67965.05,68233.91,67170.64,67626.88,786667936.82,BTC
2026-02-23,67626.88,67663.82,63879.72,64642.48,2766008869.19,BTC
2026-02-24,64642.48,64996.35,62551.85,64069.84,2906212702.97,BTC
2026-02-25,64069.84,70005.48,63922.45,67998.99,3753044530.52,BTC
2026-02-26,67998.99,68867.59,66508.93,67498.16,3038274772.26,BTC
2026-02-27,67498.16,68227.68,64948.18,65870.53,2743694516.97,BTC
2026-02-28,65870.53,67756.22,63030.34,66985.3,2566186201.06,BTC
2026-03-01,66985.3,68190.48,65043.22,65774.35,2126537310.68,BTC
2026-03-02,65774.35,70116.05,65261.45,68831.94,3577629869.35,BTC
2026-03-03,68831.94,69257.29,66148.66,68338.0,3209229703.13,BTC
2026-03-04,68338.0,74083.89,67407.2,72685.14,4177397786.89,BTC
2026-03-05,72685.14,73580.61,70649.03,70883.43,2818687736.82,BTC
2026-03-06,70883.43,71415.18,67734.1,68110.63,2634646708.86,BTC
2026-03-07,68110.63,68536.12,66935.38,67261.55,809381009.5,BTC
2026-03-08,67261.55,68191.22,65631.31,65974.07,1393620547.64,BTC
2026-03-09,65974.07,69537.79,65835.73,68438.57,2709476164.15,BTC
2026-03-10,68438.57,71784.73,68390.84,69961.25,2928859556.81,BTC
2026-03-11,69961.25,71346.32,68986.08,70205.19,2418277293.19,BTC
2026-03-12,70205.19,70804.8,69210.99,70527.68,2322381597.45,BTC
2026-03-13,70527.68,73942.2,70402.18,70941.65,2849291467.57,BTC
2026-03-14,70941.65,71312.93,70324.71,71223.72,695397584.7,BTC
2026-03-15,71223.72,73214.29,70872.84,72828.77,1194265898.73,BTC
2026-03-16,72828.77,74911.2,72291.22,74884.52,2613830614.25,BTC
2026-03-17,74884.52,76011.83,73419.9,73936.64,2819675253.63,BTC
2026-03-18,73936.64,74703.58,70493.02,71248.69,2164801322.0,BTC
2026-03-19,71248.69,71617.06,68778.11,69918.84,2199132834.75,BTC
2026-03-20,69918.84,71362.83,69382.16,70504.27,1979988250.54,BTC
2026-03-21,70504.27,71082.27,68569.14,68909.77,712826361.45,BTC
2026-03-22,68909.77,69575.11,68236.24,69325.6,300534681.61,BTC
